idx,treatment_title,resp_title,sate,causal_effect,explanation,treatment_idx,resp_idx,ate
2,"Princess Bride, The (1987)",Grease (1978),0.96644294,0,"'The Princess Bride' (fantasy/romance/comedy) and 'Grease' (musical/romance) have some demographic overlap, but no causal or sequenced relationship. Watching one does not make it meaningfully more or less likely a viewer will watch the other; genre and narrative do not connect.",1197,1380,-0.001986756920814514
34,Andre (1994),Grease (1978),0.9530686,0,"Andre is a family film about a seal, while Grease is a classic musical romance. Apart from broad family appeal, there is no meaningful narrative, genre, or temporal connection. Watching Andre does not causally raise or lower the chances of watching Grease.",577,1380,-0.000993385910987854
40,Heavenly Creatures (1994),Mission: Impossible (1996),-0.44344163,0,"The two movies are unrelated in genre, tone, and narrative. Watching the psychological drama 'Heavenly Creatures' has no substantial causal effect on the likelihood of watching the blockbuster spy film 'Mission: Impossible.' Both films attract different audience motivations, and any correlations are likely due to confounders such as overall movie-watching frequency.",247,648,-0.007284760475158691
53,Rising Sun (1993),Notorious (1946),0.94645005,0,"Rising Sun is a modern crime thriller, Notorious is a classic Hitchcock espionage film. There is no narrative connection, actor overlap, or established viewing order; watching one does not meaningfully influence viewing the other.",517,930,-0.011589407920837402
61,To Kill a Mockingbird (1962),Grease (1978),0.9265548,0,"'To Kill a Mockingbird' is a serious literary drama, while 'Grease' is a light-hearted musical. Their audiences, release dates, and genres are dissimilar, so watching 'Mockingbird' does not causally affect the likelihood of watching 'Grease'.",1207,1380,-0.01026490330696106
67,"Princess Bride, The (1987)",Mallrats (1995),0.92373395,0,"'The Princess Bride' is a fantasy/romance/comedy, while 'Mallrats' is a 1990s slacker comedy. Though both have cult followings, watching one is not causally linked to watching the other as they serve different viewing preferences.",1197,180,0.0016556307673454285
68,L.A. Confidential (1997),Pocahontas (1995),-0.08127634,0,"These films differ significantly in genre, tone, and target audience (a gritty neo-noir crime thriller vs. a Disney animated musical). Thus, watching 'L.A. Confidential' does not causally affect the likelihood of watching 'Pocahontas'.",1617,48,0.0016556307673454285
86,"Abyss, The (1989)",Beverly Hills Cop III (1994),0.28120434,0,"'The Abyss' is a sci-fi drama; 'Beverly Hills Cop III' is an action-comedy sequel. No genre, narrative, or franchise connection exists between these movies, so watching one does not causally affect watching the other.",1127,420,-0.006953641772270203
98,Conspiracy Theory (1997),Mouse Hunt (1997),0.06618054,0,"'Conspiracy Theory' is an adult-targeted thriller; 'Mouse Hunt' is a slapstick family comedy. These films are unrelated in genre, tone, and audience, so watching one does not causally affect the likelihood of watching the other.",1597,1713,-0.004470199346542358
102,"Apple Dumpling Gang, The (1975)","Saint, The (1997)",0.44209892,0,"'The Apple Dumpling Gang' is a family comedy-western, while 'The Saint' is a 1990s action/spy film. No narrative or genre link exists, so there is no causal effect.",1007,1479,-0.007615894079208374
103,"Basketball Diaries, The (1995)",Mission: Impossible (1996),-0.41655344,0,"'The Basketball Diaries' is an edgy coming-of-age drama; 'Mission: Impossible' is an action blockbuster. Despite temporal proximity, there is no genre or franchise connection, so no causal effect exists.",147,648,-0.0049668848514556885
112,Andre (1994),Mallrats (1995),0.91095066,0,"'Andre' is a family movie about a seal, while 'Mallrats' is a crude comedy aimed at teens. There is no narrative or thematic connection. Viewer preferences for one do not causally determine preference for the other.",577,180,0.0014900639653205872
131,Scream (1996),Heavy (1995),0.15191041,0,"Scream is a meta-horror/slasher film, while Heavy is an indie romantic drama with no narrative, genre, or audience overlap. Watching one does not causally affect watching the other after accounting for confounders such as movie-watching frequency.",1407,764,-0.0003311261534690857
134,Barcelona (1994),"Shadow, The (1994)",0.18143453,0,"Barcelona is an indie drama/romance, while The Shadow is a pulp superhero/action movie. There is no franchise, narrative, or audience similarity to induce a causal effect beyond broad enthusiasm for mid-90s cinema.",417,533,-0.0009933747351169586
138,"Manchurian Candidate, The (1962)",Mission: Impossible (1996),-0.4107683,1,"Both are espionage thrillers, appealing to fans of spy/conspiracy films. Watching 'The Manchurian Candidate' may modestly increase a viewer's interest in related modern spy films like Mission: Impossible, but most of the association is due to overall genre preference.",1267,648,0.04933774471282959
158,Sgt. Bilko (1996),"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",0.9052861,0,"These films are totally unrelated in genre (comedy vs. period drama) and audience. Watching one does not causally affect the chance of watching the other, once confounders are considered.",637,1362,-0.006788074970245361
163,Sgt. Bilko (1996),Notorious (1946),0.9040805,0,"No connection in narrative, genre, or likely audience. Watching a 90s comedy does not causally affect the chance of watching a classic Hitchcock thriller.",637,930,0.011920541524887085
165,Critical Care (1997),Willy Wonka and the Chocolate Factory (1971),-0.18482842,0,"Totally distinct genres (medical satire vs. musical family fantasy), eras, and audiences. Watching one has no causal impact on the likelihood of watching the other.",1677,1073,-0.0004966855049133301
168,"Abyss, The (1989)",Mission: Impossible (1996),-0.40574723,0,"Even though both come from high-profile directors and could appeal to blockbuster moviegoers, watching an underwater sci-fi adventure does not directly cause someone to watch a spy thriller; shared popularity/promotion is a confounder.",1127,648,0.00016558170318603516
171,Bastard Out of Carolina (1996),"Crow: City of Angels, The (1996)",0.044799212,0,Different genres (drama vs. supernatural action sequel) and audiences; no narrative or genre-based causal pathway.,1397,839,0.00016555935144424438
185,Andre (1994),"Hour of the Pig, The (1993)",0.9024669,0,"'Andre' is a family animal film, 'Hour of the Pig' is an adult-oriented legal drama; their audiences rarely overlap and there is no causal pathway from A to B.",577,578,-0.0014900639653205872
213,L.A. Confidential (1997),Notorious (1946),0.89879876,1,"L.A. Confidential is a neo-noir crime thriller; Notorious is a classic Hitchcock thriller. Genre and cinematic style may inspire interest in film history among some viewers, producing a weak but positive causal effect.",1617,930,0.07533112168312073
219,Love Jones (1997),Mission: Impossible (1996),-0.39865887,0,"Love Jones is a romantic drama; Mission: Impossible is an action thriller. Audiences and viewing motives are distinct, with no logical narrative or genre connection.",1477,648,0.00016558170318603516
221,What's Eating Gilbert Grape (1993),"Fish Called Wanda, A (1988)",0.06438827,0,"'What's Eating Gilbert Grape' is a drama; 'A Fish Called Wanda' is a British crime comedy. There is no narrative, genre, or likely audience connection for a causal effect.",337,1079,-0.0036423802375793457
229,Andre (1994),Notorious (1946),0.8958484,0,"Andre is a family/children's animal film; Notorious is a classic Hitchcock thriller for adults. The audience and genre disconnect is large, with no expected causal influence.",577,930,-0.0029801279306411743
245,"Santa Clause, The (1994)",Mission: Impossible (1996),-0.3955216,0,"Santa Clause is a Christmas family comedy; Mission: Impossible is a summer blockbuster action film. No genre or expected viewership link, so no causal effect.",317,648,0.008443713188171387
249,To Kill a Mockingbird (1962),Mallrats (1995),0.8841563,0,"A revered courtroom drama, and a slacker Generation X comedy. No audience, narrative, or genre causal path between them.",1207,180,-0.0054635703563690186
250,Speed (1994),Sleepless in Seattle (1993),0.025794065,0,"Speed is action/thriller, Sleepless in Seattle is romantic comedy/drama. Despite some popular actors, the movies serve utterly different viewing moods and causes, so no causal effect.",377,539,-0.0036423802375793457
259,L.A. Confidential (1997),Mission: Impossible (1996),-0.39548755,1,"Both are high-profile crime/thriller films released in the late 90s, possibly attracting fans of suspense stories. However, there’s no franchise connection. Watching a well-received crime thriller like A might slightly increase appetite for slick, action-oriented thrillers like B.",1617,648,0.06142383813858032
268,Home for the Holidays (1995),"Basketball Diaries, The (1995)",0.031894498,0,"A is a family holiday comedy; B is a gritty teen drama. Tone and intended audience do not overlap, so there is no causal influence.",57,147,0.00281456857919693
279,When Harry Met Sally... (1989),"Shaggy Dog, The (1959)",0.24099696,0,A is a romantic comedy; B is a classic family fantasy comedy. Viewing one does not increase or decrease the likelihood of viewing the other.,1307,1016,-0.0008278116583824158
302,Once Upon a Time in America (1984),Sphere (1998),-0.015681544,0,Epic crime drama and sci-fi thriller are decades apart in both genre and audience targeting. No causal effect.,1227,1779,-0.000993378460407257
309,"Jackal, The (1997)",Mission: Impossible (1996),-0.39098153,2,"Both are 1990s action/thriller films; viewers interested in A may develop increased appetite for similar genre fare like B. While not direct sequels or shared universe, there is a modest causal effect via genre motivation.",1687,648,0.1018211841583252
328,Three Colors: Blue (1993),Fatal Instinct (1993),0.13083838,0,"'Three Colors: Blue' is an arthouse European drama; 'Fatal Instinct' is a spoof/comedy. No shared genre, tone, or audience, so watching A has no effect on B.",307,445,0.001821191981434822
333,Andre (1994),Little Odessa (1994),0.87244284,0,"'Andre' is a family film, while 'Little Odessa' is a dark crime drama. Watching a light, child-friendly movie doesn't causally impact the likelihood of watching a violent, adult-oriented drama. Different genres and audiences preclude a causal effect.",577,268,-0.004801318049430847
337,Two Bits (1995),Notorious (1946),0.87174845,0,"'Two Bits' is a 1990s coming-of-age drama, while 'Notorious' is a classic 1940s Hitchcock thriller. There is no plausible causal link in viewing behavior between these two, given the difference in era, genre, and narrative connection.",67,930,-0.01076158881187439
