idx,treatment_title,resp_title,sate,causal_effect,explanation,treatment_idx,resp_idx,ate
4,One Flew Over the Cuckoo's Nest (1975),Mission: Impossible (1996),-0.45890412,0,"Although both are well-known films, their genres, themes, and tones are entirely different, and there is no narrative or actor linkage. Watching the hard-hitting 'Cuckoo's Nest' does not causally affect the likelihood of watching a mainstream action thriller like 'Mission: Impossible'.",1193,648,-0.001490086317062378
14,"Shadow, The (1994)","Hour of the Pig, The (1993)",0.95652175,0,"'The Shadow' is a pulp superhero adventure, while 'Hour of the Pig' is a medieval legal drama. There are no genre, cast, or thematic connections; no plausible mechanism for watching one to causally affect likelihood of watching the other.",533,578,0.007119208574295044
17,12 Angry Men (1957),"Misérables, Les (1995)",0.22749358,0,"These are both classic dramas, but separated by era, style, and narrative. Fans of serious drama may enjoy both, but watching '12 Angry Men' specifically does not make one more or less likely to watch 'Les Misérables.'",1203,73,0.004139073193073273
38,Blown Away (1994),Mission: Impossible (1996),-0.44344163,1,"Both are action thrillers from the 1990s with bomb-related plots. While they aren't connected narratively, the shared genre and temporal proximity slightly increase the chance that an action fan might pursue both, but confounders (preference for star or franchise) dominate. The causal effect is minimal but just above zero.",423,648,0.053476810455322266
43,"Shadow, The (1994)",Notorious (1946),0.9498792,0,"While both can be loosely grouped as 'thriller' films, 'The Shadow' is a pulp superhero movie and 'Notorious' is a Hitchcock classic in the spy genre. There is no narrative or franchise dependency, and viewing one does not cause or discourage viewing of the other; confounding is mostly via classic film interest or genre completionism.",533,930,0.003311261534690857
45,Space Jam (1996),Notorious (1946),0.9470199,0,"There is no plausible causal pathway: 'Space Jam' is a family basketball/animation/comedy, while 'Notorious' is a 1940s espionage romance thriller. Audience overlap is coincidental and driven by unrelated factors.",673,930,0.004801318049430847
62,Meet John Doe (1941),Mission: Impossible (1996),-0.42813864,0,"There is no narrative, genre, or temporal connection between a 1941 Frank Capra drama and a 1996 spy action blockbuster. Watching 'Meet John Doe' does not causally affect the likelihood of watching 'Mission: Impossible' beyond broad viewing preferences.",973,648,0.0031456947326660156
92,Mercury Rising (1998),Mission: Impossible (1996),-0.4183017,1,"Both are 1990s action/thriller films catering to similar audiences. Watching 'Mercury Rising' might modestly increase appetite for other action films like 'Mission: Impossible', though the effect is limited by the lack of direct narrative or franchise connection.",1833,648,0.056291401386260986
111,"Silence of the Lambs, The (1991)",Escape from New York (1981),0.025556676,0,"'The Silence of the Lambs' is a psychological thriller/horror, while 'Escape from New York' is a dystopian action movie. They appeal to overlapping but not synonymous audiences, and watching one has no narrative or genre-driven causal impact on the other.",593,1129,0.006788074970245361
113,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Mission: Impossible (1996),-0.41481063,0,"A historical drama and a contemporary spy/action blockbuster are not causally linked in viewing decisions. Audience overlap is minimal, and there is no franchise or thematic dependency.",1643,648,-0.0008278191089630127
140,Wyatt Earp (1994),"Hour of the Pig, The (1993)",0.90815985,1,"Both are historical dramas, so watching one may marginally increase interest in the other via enhanced appetite for period films, but much of the overlap is explained by genre preference.",383,578,0.07996688038110733
181,Picture Perfect (1997),"Hour of the Pig, The (1993)",0.9024669,0,"'Picture Perfect' is a modern romantic comedy; 'Hour of the Pig' is a period legal drama. There’s no narrative connection or overlapping audience, so causal influence is negligible.",1593,578,0.00281456857919693
205,Space Jam (1996),"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",0.90000284,0,"Space Jam is a family sports comedy, while The Garden of Finzi-Contini is an Italian historical drama. There is no narrative, genre, or audience overlap, and viewing behavior for one does not causally influence the other.",673,1362,-0.0044701844453811646
216,Amistad (1997),Grease (1978),0.89876324,0,"Amistad is a historical drama; Grease is a musical romance. Thematically and demographically, the audiences are separate, and watching one does not causally promote or reduce interest in the other.",1693,1380,-0.0018211901187896729
217,"Day the Earth Stood Still, The (1951)",Star Trek VI: The Undiscovered Country (1991),0.05038175,2,"Both are classic sci-fi films. Watching 'The Day the Earth Stood Still' may slightly increase interest in more modern or franchise sci-fi due to genre affinity and curiosity about the evolution of science fiction, though the relationship is weak.",1253,1372,0.1519867479801178
218,Tombstone (1993),Mission: Impossible (1996),-0.3990607,0,"Tombstone is a Western, while Mission: Impossible is a spy thriller. There is no compelling narrative, genre, or audience overlap for meaningful causal influence.",553,648,-0.01605960726737976
220,Jane Eyre (1996),"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",0.89705175,1,"Both films are European period dramas with literary roots. Watching Jane Eyre may slightly increase interest in historical drama, producing a mild causal effect due to genre affinity.",613,1362,0.09370860457420349
233,Picture Perfect (1997),Notorious (1946),0.8958484,0,"A light 90s romantic comedy followed by a classic Hitchcock thriller from the 40s. Different genres, eras, and likely viewer motivations mean no strong causal effect.",1593,930,0.008609265089035034
243,To Gillian on Her 37th Birthday (1996),"Sting, The (1973)",0.4278643,0,"'To Gillian...' is a family/romance drama, 'The Sting' is a classic con caper. No significant narrative or genre correlation; viewing one does not influence interest in the other.",1043,1234,-0.005298003554344177
266,Restoration (1995),Mission: Impossible (1996),-0.39530438,0,"A is a period drama, B is a contemporary action thriller. Audience overlap is minimal, so there is no likely causal effect from A to B.",43,648,-0.007615894079208374
276,Clerks (1994),"Nightmare Before Christmas, The (1993)",0.17375518,0,"A is a black-and-white indie slacker comedy, B is a stop-motion animated musical fantasy. Their audiences and genres do not overlap substantially.",223,551,-0.00612582266330719
288,"Shadow, The (1994)",Little Odessa (1994),0.87560385,0,"Pulpy superhero film and brooding crime drama have no franchise, tonal, or audience overlap. Watching 'The Shadow' does not make someone more or less likely to watch 'Little Odessa'.",533,268,0.01440398395061493
301,Picture Perfect (1997),Mission: Impossible (1996),-0.39283994,0,"Romantic comedy and action spy thriller have little genre or narrative overlap; audience connection is weak, so there is no real causal effect.",1593,648,0.006291389465332031
310,Desperado (1995),Little Odessa (1994),0.87454766,0,'Desperado' is an action film; 'Little Odessa' is an indie crime drama. There is no narrative or major genre overlap. Watching A does not causally affect watching B.,163,268,0.015066221356391907
321,Space Jam (1996),Little Odessa (1994),0.8729681,0,"'Space Jam' is a family sports/comedy; 'Little Odessa' is a dark crime drama. Audiences are distinct and there's no narrative connection, so watching A does not causally drive or deter B.",673,268,-0.0029801279306411743
331,Amistad (1997),Mission: Impossible (1996),-0.38511863,0,"'Amistad' is a historical drama, while 'Mission: Impossible' is an action-thriller. Audience overlap is unlikely beyond general film enthusiasts, and genre and tone are completely different. Watching one provides no narrative or motivational link to watching the other.",1693,648,0.011589407920837402
