idx,treatment_title,resp_title,sate,causal_effect,explanation,treatment_idx,resp_idx,ate
6,Bullets Over Broadway (1994),Mission: Impossible (1996),-0.4507645,0,'Bullets Over Broadway' (comedy/crime/period piece) and 'Mission: Impossible' (spy/action) appeal to different audiences and have no narrative or cast connection. Watching one does not meaningfully affect the likelihood of watching the other.,348,648,-0.004635751247406006
9,Air Force One (1997),Othello (1995),0.032551147,0,"'Air Force One' is a political action thriller, while 'Othello' is a Shakespearean adaptation. These movies have no narrative or genre dependency, and watching one has no causal effect on the likelihood of watching the other.",1608,26,0.001986755058169365
19,Dirty Dancing (1987),Grease (1978),0.9542169,3,"Both are nostalgic, dance/music-driven romantic films with large cult followings. Watching 'Dirty Dancing' may slightly increase interest in 'Grease' due to comparable genre, tone, and overlapping fanbases; however, each stands strongly alone and preexisting preferences are a major confounder.",1088,1380,0.22367548942565918
21,Mission: Impossible (1996),Farinelli: il castrato (1994),-0.01985886,0,"One is a Hollywood action/spy blockbuster, the other is a European biographical musical drama. There's virtually no direct narrative or genre link, and audience overlap is minimal. Watching Mission: Impossible is not causally linked to seeking out Farinelli.",648,242,0.0013245036825537682
36,Dante's Peak (1997),Austin Powers: International Man of Mystery (1997),0.4209357,0,"Dante's Peak is a disaster thriller; Austin Powers is a spoof comedy. The genres, tones, and viewing motivations are distinct with no narrative connection, so there is no causal effect in either direction.",1438,1517,-0.0011589378118515015
46,Tales From the Crypt Presents: Demon Knight (1995),From Dusk Till Dawn (1996),0.027357377,3,"Both are mid-90s horror/action films with cult followings and supernatural elements. Watching 'Demon Knight' may causally encourage seeking out similar dark horror-comedy experiences like 'From Dusk Till Dawn,' due to genre appeal and movie night marathons; however, they are not narratively connected, so the effect is moderate, not strong.",328,70,0.23559603095054626
48,Strictly Ballroom (1992),Paradise Lost: The Child Murders at Robin Hood Hills (1996),0.3896899,0,"'Strictly Ballroom' is a light-hearted dance/romance film, while 'Paradise Lost' is a dark, true-crime documentary. There is no thematic, genre, or narrative connection, so watching the former does not causally impact the likelihood of watching the latter.",1188,1361,-0.00033112242817878723
49,Traveller (1997),Mission: Impossible (1996),-0.4338015,0,"'Traveller' is a crime drama about con artists; 'Mission: Impossible' is an action/spy film. Although there is a faint link via themes of deception, there is no franchise, genre, or narrative dependency and no causal effect on viewing likelihood.",1508,648,-0.0016556382179260254
64,Four Rooms (1995),Sleepers (1996),0.1938757,0,"Despite being released a year apart, 'Four Rooms' (an anthology comedy) and 'Sleepers' (a dark drama) differ in theme, tone, and audience. Watching one does not causally affect watching the other.",18,1061,-0.0019867494702339172
71,Daylight (1996),"Hour of the Pig, The (1993)",0.9213595,0,"'Daylight' is a Hollywood action thriller, whereas 'Hour of the Pig' is a British-French period drama with dark comedy elements. There are no narrative, thematic, or franchise ties. Watching A is unlikely to causally affect interest in B.",798,578,-0.0006622523069381714
