idx,treatment_title,resp_title,sate,causal_effect,explanation,treatment_idx,resp_idx,ate
7,"Close Shave, A (1995)","Postman, The (1997)",0.9605461,0,"'A Close Shave' (stop-motion animated short) and 'The Postman' (post-apocalyptic epic) are extremely dissimilar in genre, length, tone, and audience. Watching one does not causally influence viewing of the other.",745,1726,-0.001821191981434822
23,"Time to Kill, A (1996)","Hour of the Pig, The (1993)",0.9542169,2,"Both are legal dramas with period and social themes, so watching A Time to Kill could casually increase interest in another courtroom-centered film like The Hour of the Pig. However, the connection is weak since the latter is more niche and less known.",805,578,0.17533113062381744
25,Leaving Las Vegas (1995),"Fifth Element, The (1997)",0.15183298,0,"Leaving Las Vegas (dark drama) and The Fifth Element (sci-fi adventure) have entirely separate tones, audiences, and reputations. Watching one would not causally motivate or demotivate the other, after controlling for broad cinephilia.",25,1527,0.0
26,Homeward Bound: The Incredible Journey (1993),Grease (1978),0.95364237,0,"Homeward Bound is a family animal adventure film; Grease is a teenage musical romance. There is no narrative or genre link, and viewing one provides no actionable information about desire to view the other, even after accounting for family-friendliness preference.",1015,1380,0.004801318049430847
30,"Great White Hype, The (1996)",Grease (1978),0.9530686,0,"These films differ vastly in genre (sports comedy vs. musical/romance), audience, and release era. There is no narrative or thematic dependency, and no significant reason why watching one would influence interest in the other, either positively or negatively.",725,1380,0.0031456947326660156
31,Paris Was a Woman (1995),Mission: Impossible (1996),-0.4439759,0,"The first is a documentary about women in Paris, while the second is a mainstream action thriller. There is no narrative link nor strong audience overlap. Watching the former does not causally impact the likelihood of watching the latter.",1315,648,0.002317875623703003
33,Kids (1995),Terminal Velocity (1994),-0.06975761,0,"Kids is a gritty drama about urban youth; Terminal Velocity is an action thriller. There is no narrative, thematic, or genre dependency, so watching Kids does not causally affect watching Terminal Velocity.",175,548,-0.0023178812116384506
50,Homeward Bound: The Incredible Journey (1993),Notorious (1946),0.9470199,0,"These movies are entirely unrelated in narrative, genre, time period, and typical viewership. There is no plausible causal pathway from watching a family/animal film to viewing a classic Hitchcock thriller, aside from generic movie-watching activity.",1015,930,-0.008609265089035034
55,Miller's Crossing (1990),Mission: Impossible (1996),-0.4294082,0,"Miller's Crossing is a Coen brothers gangster film, Mission: Impossible is a mainstream action/spy thriller reboot. There is no narrative dependency and minimal audience overlap in a way that would lead to a causal effect.",1245,648,0.006622523069381714
56,"Great White Hype, The (1996)",Notorious (1946),0.94645005,0,"The Great White Hype is a satirical sports comedy while Notorious is a 1940s spy thriller—no narrative connection, shared audience, or causal genre influence.",725,930,0.0
63,Sabrina (1954),Mission: Impossible (1996),-0.42806816,0,"'Sabrina' is a romantic comedy from the 1950s, whereas 'Mission: Impossible' is a contemporary action thriller from the 1990s. Their target audiences and appeal are unconnected, so there is no causal effect.",915,648,-0.0003311336040496826
78,Delicatessen (1991),"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",0.9159181,0,"'Delicatessen' is a French post-apocalyptic dark comedy; 'Garden of Finzi-Contini' is an Italian art-house drama about Jews in WWII Italy. There is no narrative, genre, or likely audience causal link between A and B.",1175,1362,-0.0054635703563690186
83,Ed Wood (1994),Grease (1978),0.91534096,0,'Ed Wood' is a biographical comedy-drama about a cult film director; 'Grease' is a musical romance set in the 1950s. There are no sequel/spinoff or strong genre connections. Watching 'Ed Wood' may only loosely increase interest in film history but does not causally affect watching 'Grease' specifically.,235,1380,0.00413908064365387
104,Homeward Bound: The Incredible Journey (1993),Mallrats (1995),0.9114991,0,"'Homeward Bound' is a family adventure about pets; 'Mallrats' is a Kevin Smith teen comedy. No thematic, genre, or narrative connection, so no causal effect.",1015,180,-0.0016556307673454285
106,Heaven & Earth (1993),Mission: Impossible (1996),-0.4160281,0,"Heaven & Earth is a historical Vietnam drama; Mission: Impossible is a high-octane spy thriller. There is no narrative dependency or shared genre, and most viewers interested in one would watch or skip the other independently. No meaningful causal effect.",465,648,-0.0036423802375793457
110,Fierce Creatures (1997),"Age of Innocence, The (1993)",0.40175807,0,"'Fierce Creatures' is a British farce comedy, while 'The Age of Innocence' is a period romantic drama. Their genres and tones are in contrast and there is no narrative dependency; viewers’ decisions are independent.",1425,412,0.0031456947326660156
115,"Great White Hype, The (1996)",Mallrats (1995),0.91095066,0,"'The Great White Hype' is a sports comedy, 'Mallrats' is a slacker comedy. Both are comedies but in subgenres with different appeal. Watching one does not causally increase or decrease the chance of watching the other.",725,180,0.003973513841629028
