idx,treatment_title,resp_title,sate,causal_effect,explanation,treatment_idx,resp_idx,ate
3,Mrs. Winterbourne (1996),Star Trek: The Wrath of Khan (1982),0.0540223,0,"These films are disconnected by genre (romantic comedy/drama vs. sci-fi adventure), audience, and era. Watching 'Mrs. Winterbourne' neither causally encourages nor discourages a viewer from watching 'The Wrath of Khan'.",691,1374,-0.007947012782096863
13,Benny & Joon (1993),"Apostle, The (1997)",0.26823628,0,"'Benny & Joon' is a quirky romantic comedy, while 'The Apostle' is a religious drama. No shared narrative or genre, and minimal overlap in likely audiences beyond general cinephilia, so no causal effect beyond general movie-watching.",1441,1694,0.005629144608974457
20,Bob Roberts (1992),Mimic (1997),0.10290137,0,"These are unrelated films by genre (mockumentary satire vs. sci-fi horror) and have no narrative or franchise connection. Watching Bob Roberts is unlikely to influence desire to watch Mimic, after accounting for potential confounders like general moviegoing habits or eclectic taste.",1171,1603,-0.0043046362698078156
28,Fluke (1995),Mission: Impossible (1996),-0.44451147,0,"Fluke is a family drama/fantasy; Mission: Impossible is an action thriller. These films serve distinct audience segments and genres, and watching one has no meaningful causal impact on watching the other.",241,648,-0.00016558170318603516
29,Deceiver (1997),Grease (1978),0.9530686,0,"Deceiver is a dark neo-noir thriller, whereas Grease is a lighthearted musical. They share no franchise, genre, or audience overlap of consequence, so watching Deceiver does not causally affect the likelihood of watching Grease.",1671,1380,-0.0016556382179260254
54,Cat on a Hot Tin Roof (1958),Candyman (1992),0.03382973,0,"These films are separated by decades, genre (theater adaptation vs. horror), tone, and audience demographic. Watchers of the first are not causally inclined to seek out the second due to any narrative, franchise, or thematic tie.",971,1342,0.0014900676906108856
74,Things to Do in Denver when You're Dead (1995),Notorious (1946),0.9198922,0,"Despite being crime films, these movies are from different eras, styles, and subgenres (neo-noir vs. Hitchcockian suspense). No direct narrative or franchise connection, so the causal effect is neutral.",81,930,0.006788074970245361
82,"Godfather: Part II, The (1974)","Grand Day Out, A (1992)",0.45763046,0,"'The Godfather: Part II' is a gritty crime drama, while 'A Grand Day Out' is a stop-motion animated family short (Wallace and Gromit). Their audiences, genres, and tones are completely unrelated, so watching the former does not causally increase or decrease the likelihood of watching the latter.",1221,1223,0.000993378460407257
85,Braindead (1992),Grease (1978),0.9152658,0,"'Braindead' (aka 'Dead Alive') is a gory horror-comedy, while 'Grease' is a light-hearted musical. There is no narrative or thematic link, and their genres and audiences are very distinct, making the causal effect negligible.",1241,1380,-0.006788074970245361
105,Dangerous Minds (1995),Muppet Treasure Island (1996),0.9114615,0,"These films differ in genre, tone, and audience. Watching a gritty educational drama like 'Dangerous Minds' does not causally influence the likelihood of watching a musical Muppet adventure, aside from broad viewer eclecticism. No narrative or thematic connection, nor likely spillover viewing.",31,107,0.0014900676906108856
109,Deceiver (1997),Mallrats (1995),0.91095066,0,"'Deceiver' is a psychological thriller, and 'Mallrats' is a stoner comedy. No franchise connection or similar viewing pathway exists. Watching one has no causal impact on the other as genre, tone, and audiences are distinct.",1671,180,-0.000993378460407257
124,His Girl Friday (1940),"Lost World: Jurassic Park, The (1997)",0.09659704,0,"A 1940s screwball comedy and a 1990s dinosaur action blockbuster have no narrative, franchise, or genre overlap. No plausible pathway links watching one to watching the other.",951,1544,0.0021523237228393555
129,Braindead (1992),Notorious (1946),0.9085626,0,"'Braindead' (aka 'Dead Alive') is a splatter horror-comedy; 'Notorious' is a classic Hitchcock thriller. Their genres and audiences do not overlap, so watching one does not causally impact the other.",1241,930,0.011092707514762878
135,"Celluloid Closet, The (1995)",Mission: Impossible (1996),-0.4107683,0,"Celluloid Closet is a documentary about LGBTQ representation in film, which is unrelated in genre, subject matter, and audience to the action-driven Mission: Impossible. No plausible causal pathway connects viewership of these two films.",581,648,0.0069536566734313965
139,Relative Fear (1994),Mrs. Doubtfire (1993),0.267179,0,"Relative Fear is a psychological thriller, Mrs. Doubtfire is a family comedy—no narrative or genre continuity, and no plausible direct effect aside from generalized movie-watching behavior.",311,500,0.0004966855049133301
154,Hellraiser: Bloodline (1996),Mission: Impossible (1996),-0.40814975,0,"Hellraiser: Bloodline is a horror sequel, Mission: Impossible is a contemporary action/spy movie. There is little to no narrative, genre, or audience overlap, so watching one does not causally affect the other.",611,648,-0.004801332950592041
157,Go Fish (1994),Mission: Impossible (1996),-0.4080522,0,"Go Fish is an indie lesbian romance drama; Mission: Impossible is a mainstream action spy film. Their audiences and genres don't overlap much, so watching A doesn't causally affect B.",461,648,0.0003311336040496826
159,"Program, The (1993)",Notorious (1946),0.9040805,0,"No connection in genre (sports drama vs. Hitchcock thriller), release time, or likely audience. Watching A does not causally impact interest in B.",511,930,0.002814561128616333
178,Flipper (1996),Beautiful Girls (1996),0.054214947,0,"Family animal film and indie relationship drama released close together but with no narrative, franchise, or meaningful audience overlap causing a direct effect.",711,94,0.0003311261534690857
184,Forbidden Planet (1956),Mission: Impossible (1996),-0.40326345,0,"No narrative or genre connection; one is a classic sci-fi, the other a '90s spy thriller. Watching 'Forbidden Planet' does not affect interest in 'Mission: Impossible' except as confounded by general moviegoing.",1301,648,0.008609265089035034
208,"Assignment, The (1997)",Beautiful Girls (1996),0.10023498,0,"The Assignment is an espionage thriller, while Beautiful Girls is a drama-comedy. Apart from temporal proximity, there is no genre or narrative dependency, so the causal effect is nil.",1631,94,-0.0013245046138763428
210,Blade Runner (1982),Hoodlum (1997),0.445779,0,"Blade Runner is sci-fi noir; Hoodlum is a crime drama. Their genres, periods, and target audiences are distinct, with no narrative or reception link, resulting in no causal effect between viewings.",541,1601,0.0009933775290846825
