idx,treatment_title,resp_title,sate,causal_effect,explanation,treatment_idx,resp_idx,ate
0,"Treasure of the Sierra Madre, The (1948)",Volcano (1997),0.0038741753,0,There is no narrative or genre connection between a classic adventure/drama from 1948 and a 1990s disaster action film. Watching 'Treasure of the Sierra Madre' is highly unlikely to causally influence interest in or avoidance of 'Volcano'; their audiences and appeal are independent.,1254,1515,0.00281456857919693
32,Amityville: Dollhouse (1996),Tommy Boy (1995),0.053811535,0,"Amityville: Dollhouse is a horror movie, while Tommy Boy is a buddy comedy. They appeal to different audiences and offer no narrative or genre connection. Viewing one should not have a causal effect on viewing the other.",1324,333,0.0021523162722587585
47,Powder (1995),Mission: Impossible (1996),-0.4359606,0,"'Powder' is a science fiction drama about an outcast youth, whereas 'Mission: Impossible' is a high-octane spy/action film. They target different audience segments, and watching the former neither encourages nor discourages watching the latter outside of confounding factors like general movie interest.",24,648,0.012086093425750732
57,Fallen (1998),Mortal Kombat: Annihilation (1997),0.93710786,0,"Fallen is a supernatural thriller and Mortal Kombat: Annihilation is a fantasy/action martial arts sequel. Different target audiences and genres with no narrative or franchise overlap; thus, no causal effect.",1754,1681,0.0011589396744966507
72,"Three Caballeros, The (1945)",Mission: Impossible (1996),-0.42407298,0,"'The Three Caballeros' is an animated Disney musical, while 'Mission: Impossible' is a 1990s action spy thriller. Their audiences do not overlap in any narratively compelling way, so watching A has no causal effect on B.",1024,648,0.00016558170318603516
123,"Air Up There, The (1994)",Notorious (1946),0.91081387,0,"'The Air Up There' is a comedic sports movie; 'Notorious' is a suspenseful Hitchcock thriller. No narrative, genre, or franchise tie; no causal effect between them.",414,930,-0.007781460881233215
128,Ace Ventura: Pet Detective (1994),Mission: Impossible (1996),-0.41218725,0,"'Ace Ventura' is a zany comedy, while 'Mission: Impossible' is an action thriller. While both are mainstream 90s hits, there is no narrative or franchise connection. Most viewers’ decisions are independent.",344,648,0.005794703960418701
133,Raising Arizona (1987),Mission: Impossible (1996),-0.4107683,0,"Raising Arizona is a quirky Coen Brothers' comedy, while Mission: Impossible is an action/spy thriller. There's no franchise, narrative, or significant genre overlap; neither would causally increase or decrease interest in the other.",1394,648,0.0004966855049133301
136,Babe (1995),Across the Sea of Time (1995),0.5300709,0,Babe is a family-friendly animal film; Across the Sea of Time is an IMAX historical adventure with little narrative or genre overlap. Viewing one does not make viewers more or less likely to seek out the other.,34,37,-0.0011589403729885817
143,"Secret of Roan Inish, The (1994)",Mission: Impossible (1996),-0.41047582,0,"Secret of Roan Inish is a family fantasy/fairy-tale, Mission: Impossible is a contemporary action thriller. There is no significant thematic or audience overlap to produce a causal effect.",314,648,0.00016555190086364746
147,Lawrence of Arabia (1962),Notorious (1946),0.90646356,1,"Both are classic, critically acclaimed films that might appeal to cinephiles or those with an interest in epic or suspenseful stories. Watching one could slightly increase inclination to watch the other through heightened interest in film classics, but this effect is small.",1204,930,0.07168874144554138
176,Executive Decision (1996),Grease (1978),0.9024669,0,"No narrative or genre connection (action thriller vs. musical romance), and different core audiences.",494,1380,-0.0006622523069381714
183,M*A*S*H (1970),Emma (1996),-0.0045839157,0,"'M*A*S*H' is an anti-war satire, whereas 'Emma' is a period romantic comedy. Audiences may differ greatly, and watching A does not causally encourage or discourage B.",1294,838,-0.0016556307673454285
