treatment_idx,resp_idx,causal_effect
1,421,1.619881196507216
1,1467,2.6960671768338846
1,2283,0.037852366667235335
2,29,0.05877639626498109
2,3430,3.567740789456686
2,3652,0.7414676474721331
3,482,2.150046986016104
3,568,0.8310401288001203
3,2285,2.058295596431798
3,3172,1.6029490302835407
3,3848,3.228330967211463
4,633,2.707775524374192
4,1415,0.09824151797496884
4,2349,5.419025923714186
4,3150,2.2419566155261066
4,3565,2.042277913857335
5,1158,0.9582054152095382
5,1586,1.0147791319359196
5,1653,1.5284968568378945
5,2031,0.5947125012282172
5,2390,0.3241122966287283
5,3878,1.770814174424356
6,193,0.018360972061592935
6,1589,1.4784370411206877
6,2201,1.664482801198128
6,2264,0.7095822229503077
6,2680,2.7273242713958283
6,2908,0.9584816216230557
6,3686,0.17004229424953027
7,536,0.7722890504919077
7,685,2.0393061593680213
7,2983,2.1716217428148235
7,3370,0.6023552925210147
7,3734,0.5543101774586698
7,3942,0.10669758476385462
8,416,1.1025239605212729
8,1033,1.5531178260069947
8,1743,2.8590309364712607
9,2121,3.7562588050955985
9,3378,1.0925988783618992
10,420,1.4041354598140474
10,1289,0.06984576352193006
10,2657,0.2145471404090752
10,2903,2.3794013226531834
10,3026,3.5945050272522927
10,3901,0.7210107325635815
11,16,4.774353097419312
11,2152,2.8444405305863025
11,2993,4.849375561556743
11,3296,1.144649948984359
12,235,1.4805370879192
12,619,0.061390792506829966
12,1116,3.0936798752857437
12,2231,0.03877965260745748
12,2308,0.5504837299351824
12,3336,0.4195649770806771
13,431,1.980626629899428
13,540,0.4464925103849527
13,1312,0.018704112053407468
13,3508,1.2070621035016305
13,3675,4.052842725238102
14,475,0.5643324448661522
14,638,4.665777782928467
14,1310,1.1536195301425143
14,1557,0.8028033362247762
14,2086,0.0492736010324875
14,2627,3.482926936612582
14,2930,2.813212862010501
14,3072,1.1791144020189626
14,3074,0.1748722031985001
14,3744,0.7205900774715244
15,2344,1.3909765272935217
15,3882,2.2582840853794153
16,636,2.3719118360675346
16,638,0.25124732900706115
16,701,1.4930302976753616
16,2050,0.1455786687295009
16,3942,2.2804113732328886
17,1144,0.1699461696710356
17,1269,1.3449761346379736
17,1371,4.090784476406547
17,1790,0.6632277829414696
17,2283,1.0072171409817
17,2675,2.1089270858863927
17,3055,3.0065945266223744
18,188,0.22719589248453922
18,1417,1.2315917863734767
18,1951,2.123531618965313
18,2008,1.9484194264582881
18,2129,1.8369021426375318
18,2434,0.23735523293783517
18,3280,0.1393664273188383
19,1269,2.311007816102166
19,1672,2.3320909777911187
19,3269,4.019669081570617
20,1231,3.3426581704042224
20,1239,1.0986783306825763
20,3081,1.516109391966907
20,3695,0.6405846543187466
21,71,0.028242399966271946
21,1360,0.17060929294147326
21,2120,2.4002377162387227
21,3560,4.324989711050646
22,807,0.274001919873904
22,959,6.4415189675056475
22,1577,2.1099306250998606
23,766,5.523081394646336
23,1652,0.7516807400484207
24,79,0.8939629757045499
24,1261,2.80799024223314
24,1271,2.034009714089195
24,1501,0.7642945950621396
24,2993,0.0699247503531375
24,3742,2.0033514002864385
25,721,2.0619969472379456
25,858,2.1258309680439393
25,2378,0.8038159716591642
26,3853,0.216619502807415
27,91,0.6330303510523099
27,985,3.879864237743677
27,1690,2.5023987535827734
27,3041,0.19590822098787927
28,2645,1.2757681877533409
28,3037,0.21120685305809742
28,3534,0.595652028077754
29,216,0.018404918224608643
29,1003,4.387088942904189
29,1615,0.13895130364119132
29,1792,0.3505680429042115
29,3544,0.47287510420137857
30,722,2.165454357391824
30,895,1.196592218590632
30,1102,1.8707071726227664
30,2075,0.5197543133206479
30,2218,0.6032131655041981
30,2702,1.8308938219203115
31,1342,0.15008704594988653
31,2395,1.5493174783304595
31,3105,4.698804297180891
31,3124,4.536558026087743
31,3475,2.3738872189720435
32,191,1.2848815297260374
32,204,1.7671281045867138
32,846,3.1324846093601533
32,1748,1.676451698061132
33,231,0.520068368436291
33,3355,0.8863476409962896
33,3370,0.9356090366573815
33,3909,0.5440744548680719
34,2075,2.572489153634711
34,2524,1.9897759233780674
34,2700,2.597935245041494
34,3004,0.3237874100964641
35,341,2.31376564459746
35,381,1.288031648093083
35,1787,0.04853039776081483
35,2164,1.2675052567614975
35,2695,0.6707466428227055
36,113,0.6834524101621618
36,3400,2.7536607577821015
36,3578,0.4330225743584654
37,1113,0.8957184981731908
37,1611,1.6216718507907562
37,1809,0.3315107981764301
37,3436,0.7141373006704367
38,641,1.1875872538545034
38,1936,1.1633407928856745
38,2367,1.4494123765940603
38,2524,0.4691524327607097
38,2985,3.6807638990840914
38,3025,2.0667414511974185
39,170,2.169445620907264
39,984,0.2614550551306714
39,1415,4.89416643802468
39,2103,1.0111794965501337
39,3535,0.47317810838092256
40,114,3.691325256514168
40,1630,0.4527584521092134
40,1708,1.0386211274329145
40,2847,1.9493316168718997
40,3206,0.059128171459917805
41,1901,2.40461917690126
41,2346,1.0422544951391695
42,1057,1.9135883298461525
42,1918,1.789874429719115
42,3528,0.9963681152834548
42,3702,0.0985482408731396
43,1745,0.730277297062834
43,3722,1.6604304620535582
44,1130,0.5395353352543327
44,1590,2.940366003223639
44,3683,1.3922624064405806
45,847,2.541734131044824
45,1380,0.42100302155468666
45,1540,3.989911994712792
45,3503,0.057950515317302206
46,1905,3.9816889273126495
46,1984,1.3876420693348022
46,2635,0.21469538157069104
46,2813,2.7267070873285766
46,3117,0.6837476350498811
47,1153,1.5316110172977317
47,1287,1.6078362081545714
47,3612,2.576517588894492
48,890,2.178578244618949
49,726,4.446836997694712
49,1058,0.23615601923446808
49,2161,1.7954668964860654
49,2315,1.1402832501010791
49,3142,2.976853978251453
49,3291,3.545477047343277
49,3469,0.46560931142870693
49,3481,0.24417890655832872
50,3500,1.771991015419472
52,1224,0.3378522219019763
52,2618,1.3853045670382567
52,3314,0.6691351097321465
53,336,2.984509251547971
53,1442,0.15551355019791255
53,1980,0.98043224046098
53,2841,4.938664684683236
53,3110,0.11441207292245803
54,4,2.286725508367476
54,1004,0.3319744504036921
54,1382,5.155817935319114
54,1849,0.9761273320952704
54,2171,1.322565267430911
54,2507,7.544753018016216
54,2779,0.42097350607417977
54,3528,0.2097372639384234
55,345,1.0400245481781938
55,1380,1.2440117912228734
55,3251,0.8621260445762386
56,255,3.25585594723583
56,338,2.9280949752039453
56,2144,2.9173265940495035
56,3117,3.75543025829429
56,3575,3.6064113163212115
57,1926,0.6228465014904164
57,3370,0.13039020669070767
58,292,2.0428835444272924
58,349,1.1880099627584528
58,2670,0.7935831468029968
59,2216,1.1830300721428686
59,2623,0.40818195873762037
59,3803,2.8883711625635056
60,1611,0.11327109987663454
60,1985,0.3288559622481219
60,2960,1.8664369554244828
60,3585,5.697378333450098
61,570,1.6038953398132074
61,942,2.9860099853305706
61,1044,2.7558126341064697
61,2216,0.30713045772195147
61,3788,3.4215677294237
62,1072,0.8181474868629937
62,2238,0.7239226197254041
62,2526,0.20952940787398744
63,467,2.901021008627481
63,1202,1.8805322761256487
63,3028,2.982604150288424
64,327,4.634290466794324
64,533,1.746479170519443
64,764,1.7178063355381226
64,2099,4.719109941356597
64,2236,3.3226658402242526
65,146,0.441491957875417
